14.05.2024 22:47:02: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:07: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:12: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:17: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:22: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:27: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:32: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:37: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:42: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:47: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:53: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:47:58: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:03: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:08: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:13: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:18: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:23: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:28: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:33: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:38: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:43: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:48: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:53: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:48:58: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:03: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:08: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:13: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:18: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:23: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:28: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:33: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:38: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:43: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
14.05.2024 22:49:48: Status: Success; Address:10.128.131.111; RoundTrip time: 0 мс; Time to live: 127; Don't fragment: False; Buffer size: 32
